,Season,Year,Major,Course,Section,Start,End,Building,Room_Number
307,FALL,2024,MATH,1010,25,2024-12-13 15:00:00,2024-12-13 18:00:00,EATON,214
308,FALL,2024,MATH,1010,26,2024-12-13 15:00:00,2024-12-13 18:00:00,EATON,214
309,FALL,2024,MATH,1010,27,2024-12-13 15:00:00,2024-12-13 18:00:00,EATON,214
310,FALL,2024,MATH,1010,28,2024-12-13 15:00:00,2024-12-13 18:00:00,EATON,214
311,FALL,2024,MATH,1010,29,2024-12-13 18:30:00,2024-12-13 21:30:00,DCC,324
312,FALL,2024,MATH,1010,30,2024-12-13 18:30:00,2024-12-13 21:30:00,DCC,324
313,FALL,2024,MATH,1010,31,2024-12-13 18:30:00,2024-12-13 21:30:00,DCC,324
314,FALL,2024,MATH,1010,32,2024-12-13 18:30:00,2024-12-13 21:30:00,DCC,324
315,FALL,2024,MATH,1020,9,2024-12-16 11:30:00,2024-12-16 14:30:00,SAGE,3303
316,FALL,2024,MATH,1020,10,2024-12-16 11:30:00,2024-12-16 14:30:00,SAGE,3303
317,FALL,2024,MATH,1020,11,2024-12-16 11:30:00,2024-12-16 14:30:00,SAGE,3303
318,FALL,2024,MATH,1020,12,2024-12-16 11:30:00,2024-12-16 14:30:00,SAGE,3303
319,FALL,2024,MATH,2010,9,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,308
320,FALL,2024,MATH,2010,10,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,308
321,FALL,2024,MATH,2010,11,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,308
322,FALL,2024,MATH,2010,12,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,308
323,FALL,2024,MATH,2010,13,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,308
324,FALL,2024,MATH,2010,14,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,308
325,FALL,2024,MATH,2010,15,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,308
326,FALL,2024,MATH,2010,16,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,308
327,FALL,2024,MATH,2010,9,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,318
328,FALL,2024,MATH,2010,10,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,318
329,FALL,2024,MATH,2010,11,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,318
330,FALL,2024,MATH,2010,12,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,318
331,FALL,2024,MATH,2010,13,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,318
332,FALL,2024,MATH,2010,14,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,318
333,FALL,2024,MATH,2010,15,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,318
334,FALL,2024,MATH,2010,16,2024-12-19 11:30:00,2024-12-19 14:30:00,DCC,318
335,FALL,2024,MATH,2010,17,2024-12-16 08:00:00,2024-12-16 11:00:00,EATON,214
336,FALL,2024,MATH,2010,18,2024-12-16 08:00:00,2024-12-16 11:00:00,EATON,214
337,FALL,2024,MATH,2010,19,2024-12-16 08:00:00,2024-12-16 11:00:00,EATON,214
338,FALL,2024,MATH,2010,20,2024-12-16 08:00:00,2024-12-16 11:00:00,EATON,214
339,FALL,2024,MATH,2010,21,2024-12-17 15:00:00,2024-12-17 18:00:00,SAGE,3303
340,FALL,2024,MATH,2010,22,2024-12-17 15:00:00,2024-12-17 18:00:00,SAGE,3303
341,FALL,2024,MATH,2010,23,2024-12-17 15:00:00,2024-12-17 18:00:00,SAGE,3303
342,FALL,2024,MATH,2010,24,2024-12-17 15:00:00,2024-12-17 18:00:00,SAGE,3303
343,FALL,2024,MATH,2400,1,2024-12-16 08:00:00,2024-12-16 11:00:00,SAGE,3303
344,FALL,2024,MATH,2400,2,2024-12-16 08:00:00,2024-12-16 11:00:00,SAGE,3303
345,FALL,2024,MATH,2400,3,2024-12-16 08:00:00,2024-12-16 11:00:00,SAGE,3303
346,FALL,2024,MATH,2400,4,2024-12-16 08:00:00,2024-12-16 11:00:00,SAGE,3303
347,FALL,2024,MATH,2400,5,2024-12-16 08:00:00,2024-12-16 11:00:00,SAGE,3303
348,FALL,2024,MATH,2400,6,2024-12-16 08:00:00,2024-12-16 11:00:00,SAGE,3303
349,FALL,2024,MATH,2400,7,2024-12-16 08:00:00,2024-12-16 11:00:00,SAGE,3303
350,FALL,2024,MATH,2400,8,2024-12-16 08:00:00,2024-12-16 11:00:00,SAGE,3303
351,FALL,2024,MATH,2400,9,2024-12-16 18:30:00,2024-12-16 21:30:00,SAGE,3303
352,FALL,2024,MATH,2400,10,2024-12-16 18:30:00,2024-12-16 21:30:00,SAGE,3303
353,FALL,2024,MATH,2400,11,2024-12-16 18:30:00,2024-12-16 21:30:00,SAGE,3303
354,FALL,2024,MATH,2400,12,2024-12-16 18:30:00,2024-12-16 21:30:00,SAGE,3303
355,FALL,2024,MATH,2400,17,2024-12-13 15:00:00,2024-12-13 18:00:00,SAGE,3303
356,FALL,2024,MATH,2400,18,2024-12-13 15:00:00,2024-12-13 18:00:00,SAGE,3303
357,FALL,2024,MATH,2400,19,2024-12-13 15:00:00,2024-12-13 18:00:00,SAGE,3303
358,FALL,2024,MATH,2400,20,2024-12-13 15:00:00,2024-12-13 18:00:00,SAGE,3303
359,FALL,2024,MATH,4040,1,2024-12-18 15:00:00,2024-12-18 18:00:00,DCC,337
360,FALL,2024,MATH,4090,1,2024-12-16 15:00:00,2024-12-16 18:00:00,CARNEGIE,113
361,FALL,2024,MATH,4200,1,2024-12-16 11:30:00,2024-12-16 14:30:00,LOW,3051
362,FALL,2024,MATH,4400,1,2024-12-13 15:00:00,2024-12-13 18:00:00,SAGE,3303
363,FALL,2024,MATH,4600,1,2024-12-16 11:30:00,2024-12-16 14:30:00,LOW,4050
364,FALL,2024,MATH,4700,1,2024-12-18 11:30:00,2024-12-18 14:30:00,TROY,2012
365,FALL,2024,MATH,6500,1,2024-12-17 11:30:00,2024-12-17 14:30:00,EATON,216
366,FALL,2024,MATH,6790,1,2024-12-18 15:00:00,2024-12-18 18:00:00,TROY,2012
367,FALL,2024,MATH,6800,1,2024-12-16 15:00:00,2024-12-16 18:00:00,SAGE,3101
368,FALL,2024,MATP,4910,1,2024-12-13 11:30:00,2024-12-13 14:30:00,AE,217
369,FALL,2024,MATP,6600,1,2024-12-17 15:00:00,2024-12-17 18:00:00,LOW,3051
370,FALL,2024,MATP,6910,1,2024-12-13 11:30:00,2024-12-13 14:30:00,AE,217
371,FALL,2024,MGMT,1100,2,2024-12-18 11:30:00,2024-12-18 14:30:00,TROY,2018
372,FALL,2024,MGMT,1100,3,2024-12-17 15:00:00,2024-12-17 18:00:00,ACADEMY,AUD
373,FALL,2024,MGMT,1100,4,2024-12-17 15:00:00,2024-12-17 18:00:00,ACADEMY,AUD
374,FALL,2024,MGMT,1260,1,2024-12-16 15:00:00,2024-12-16 18:00:00,DCC,330
375,FALL,2024,MGMT,2100,1,2024-12-17 11:30:00,2024-12-17 14:30:00,DCC,337
376,FALL,2024,MGMT,2100,2,2024-12-18 15:00:00,2024-12-18 18:00:00,CARNEGIE,113
