ENGINEERING,ENGR 2600,(ALL SECTIONS),DCC 308,Friday,5-May,8:00AM-11:00AM
ENGINEERING,ENGR 2700,1,SAGE 4101,Wednesday,3-May,3:00PM-6:00PM
ENGINEERING,ENGR 2710,1,SAGE 4510,Monday,1-May,3:00PM-6:00PM
ENGINEERING,ENGR 4100,1,SAGE 3101,Monday,1-May,6:30PM-9:30PM
ENGINEERING,ENGR 4720,(ALL SECTIONS),JEC 3232,Wednesday,3-May,11:30AM-2:30PM
ENGINEERING,ENGR 6100,1,SAGE 3101,Monday,1-May,6:30PM-9:30PM
ENVIRONMENTAL ENGINEERING,ENVE 2110,(ALL SECTIONS),TROY 2012,Friday,5-May,11:30AM-2:30PM
ENVIRONMENTAL ENGINEERING,ENVE 4180,1,LOW 3045,Tuesday,2-May,11:30AM-2:30PM
ENVIRONMENTAL ENGINEERING,ENVE 4200,1,LOW 3116,Wednesday,3-May,3:00PM-6:00PM
ENVIRONMENTAL ENGINEERING,ENVE 4320,1,LOW 3039,Tuesday,2-May,3:00PM-6:00PM
ENVIRONMENTAL ENGINEERING,ENVE 4340,1,LOW 3039,Thursday,4-May,11:30AM-2:30PM
ENVIRONMENTAL ENGINEERING,ENVE 4961,1,LOW 3039,Thursday,4-May,3:00PM-6:00PM
EARTH,ERTH 1200,(ALL SECTIONS),SAGE 3303,Monday,1-May,8:00AM-11:00AM
EARTH,ERTH 2100,1,TROY 2015,Wednesday,3-May,11:30AM-2:30PM
EARTH,ERTH 4340,1,SAGE 4112,Thursday,4-May,11:30AM-2:30PM
EARTH,ERTH 4500,1,TROY 2018,Thursday,4-May,11:30AM-2:30PM
EARTH,ERTH 4750,1,LOW 3051,Wednesday,3-May,3:00PM-6:00PM
INTERDISCIPLINARY H & SS,IHSS 1130,1,SAGE 4112,Thursday,4-May,11:30AM-2:30PM
INTERDISCIPLINARY H & SS,IHSS 1165,1,SAGE 4112,Wednesday,3-May,3:00PM-6:00PM
INDUSTRIAL SYSTEMS ENGINEERING,ISYE 2210,1,SAGE 4101,Wednesday,3-May,3:00PM-6:00PM
INDUSTRIAL SYSTEMS ENGINEERING,ISYE 4270,1,JEC 3232,Friday,5-May,8:00AM-11:00AM
INDUSTRIAL SYSTEMS ENGINEERING,ISYE 4270,2,JEC 3232,Friday,5-May,11:30AM-2:30PM
INDUSTRIAL SYSTEMS ENGINEERING,ISYE 4270,3,JEC 3232,Friday,5-May,3:00PM-6:00PM
INDUSTRIAL SYSTEMS ENGINEERING,ISYE 4270,4,JEC 3232,Friday,5-May,6:30PM-9:30PM
INDUSTRIAL SYSTEMS ENGINEERING,ISYE 4960,1,LOW 3039,Friday,5-May,11:30AM-2:30PM
INDUSTRIAL SYSTEMS ENGINEERING,ISYE 6620,1,TROY 2018,Thursday,4-May,3:00PM-6:00PM
