course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section
CHEMISTRY I,LEC,4,MTRF,10:30,12:35PM,Ma,20,0,20,CHEM,2020-05-26,2020-07-10,SUMMER 2020,15246,1100,01
CHEMISTRY I,LAB,4,MR,1:00,3:50PM,Tysoe/Morrissey,20,0,20,CHEM,2020-05-26,2020-07-10,SUMMER 2020,15246,1100,01
ORGANIC CHEMISTRY LAB I,LEC,1,MR,2:00,4:50PM,Totsingan,20,0,20,CHEM,2020-05-26,2020-07-10,SUMMER 2020,15009,2230,01
ORGANIC CHEMISTRY I,LEC,3,MTRF,10:30,12:20PM,Aldersley,40,0,40,CHEM,2020-05-26,2020-07-10,SUMMER 2020,15010,2250,01
INTERACTIVE DATA VISUALIZATION,STU,4,MTR,4:00,6:50PM,Search,10,0,10,COMM,2020-05-26,2020-07-10,SUMMER 2020,15266,4880,01
INTERACTIVE DATA VISUALIZATION,STU,3,MTR,4:00,6:50PM,Search,4,0,4,COMM,2020-05-26,2020-07-10,SUMMER 2020,15267,6880,01
INTERMEDIATE MACROECON THEORY,LEC,4,MTRF,1:30,3:35PM,Mahmoudi,50,0,50,ECON,2020-05-26,2020-07-10,SUMMER 2020,15682,2020,02
ENVIRONMENTAL ECONOMICS,STU,4,MTRF,10:30,12:35PM,Parrales,40,0,40,ECON,2020-05-26,2020-07-10,SUMMER 2020,15428,4230,01
INTRO TO ENGR ANALYSIS,LEC,4,MTRF,8:00,10:05AM,Abu-Hakmeh,50,0,50,ENGR,2020-05-26,2020-07-10,SUMMER 2020,14985,1100,01
ENG GRAPHICS & CAD,LEC,1,MTR,10:30,12:35PM,Morris,20,0,20,ENGR,2020-05-26,2020-07-10,SUMMER 2020,14861,1200,01
MATERIALS SCIENCE FOR ENGINEER,LEC,4,MTRF,10:30,12:35PM,Ramanath,60,0,60,ENGR,2020-05-26,2020-07-10,SUMMER 2020,15077,1600,01
THERMAL AND FLUIDS ENGR I,LEC,4,MTRF,10:30,12:35PM,Oehlschlae,50,0,50,ENGR,2020-05-26,2020-07-10,SUMMER 2020,14984,2250,01
PROFESSIONAL DEVEL III,LEC,1,MR,8:00,10:05AM,Schierenbe,45,0,45,ENGR,2020-05-26,2020-07-10,SUMMER 2020,15051,4010,01
HISTORY AND CULTURE OF GAMES,LEC,4,MTRF,10:30,12:35PM,Lynch,19,0,19,GSAS,2020-05-26,2020-07-10,SUMMER 2020,15376,1600,01
FILMS EVRY GAME DSGNR SHLD SEE,LEC,4,MTRF,6:00,8:05PM,Lynch,19,0,19,GSAS,2020-05-26,2020-07-10,SUMMER 2020,15721,2963,01
PSYCHOLOGY AND GAMES,LEC,4,MTRF,10:30,12:35PM,Noble,30,0,30,GSAS,2020-05-26,2020-07-10,SUMMER 2020,15722,2964,01
INTRO - HISTORICAL SIMULATIONS,LEC,4,TF,10:30,12:35PM,Suckling,19,0,19,GSAS,2020-05-26,2020-07-10,SUMMER 2020,15514,4961,01
INTRO - HISTORICAL SIMULATIONS,LEC,4,TF,1:30,3:35PM,Suckling,19,0,19,GSAS,2020-05-26,2020-07-10,SUMMER 2020,15514,4961,01
CHINESE I,LEC,4,MTRF,8:00,10:05AM,Yue,19,0,19,LANG,2020-05-26,2020-07-10,SUMMER 2020,15344,1410,01
FORMS OF FICTION,LEC,4,MTRF,1:30,3:35PM,Anicca,19,0,19,LITR,2020-05-26,2020-07-10,SUMMER 2020,15726,2960,01
WOMEN'S LITERATURE,LEC,4,MTRF,10:30,12:35PM,Anicca,19,0,19,LITR,2020-05-26,2020-07-10,SUMMER 2020,15727,2961,01
PROPULSION SYSTEMS,LEC,3,MTRF,1:30,3:20PM,Oehlschlae,40,0,40,MANE,2020-05-26,2020-07-10,SUMMER 2020,15485,4080,02
MULTIVAR CALC & MATRIX ALGEBRA,LEC,4,MTRF,1:30,3:35PM,Mitchell,60,0,60,MATH,2020-05-26,2020-07-10,SUMMER 2020,15078,2010,01
NEGOTIATIONS,LEC,4,MW,2:00,5:20PM,Golden,15,0,15,MGMT,2020-05-26,2020-07-10,SUMMER 2020,15714,4960,01
BUSINESS IMPL. OF EMERG. TECH,LEC,3,MW,10:00,1:20PM,Freeman,20,0,20,MGMT,2020-05-26,2020-07-10,SUMMER 2020,15379,6060,01
NEGOTIATION,LEC,3,MW,2:00,5:20PM,Golden,15,0,15,MGMT,2020-05-26,2020-07-10,SUMMER 2020,15674,6690,01
CRITICAL THINKING,LEC,4,MTRF,10:30,12:35PM,Van Heuvel,25,0,25,PHIL,2020-05-26,2020-07-10,SUMMER 2020,15013,2100,01
